Transaction date,Account number,Account name,Currency code,Closing balance,Transaction amount,Transaction code,Narrative,Reference
20260103,032001234567,HARBOURSIDE PLUMBING LTD,NZD,48250.00,12500.00,050,PAYMENT RECEIVED - INV-2025-118 RENOVATE NZ LTD,REF001
20260106,032001234567,HARBOURSIDE PLUMBING LTD,NZD,44850.00,-3400.00,050,PLUMBING SUPPLIES NZ LTD - MATERIALS,REF002
20260108,032001234567,HARBOURSIDE PLUMBING LTD,NZD,40850.00,-4000.00,050,PAYROLL - MIKE TANE,REF003
20260108,032001234567,HARBOURSIDE PLUMBING LTD,NZD,37050.00,-3800.00,050,PAYROLL - SARAH CHEN,REF004
20260110,032001234567,HARBOURSIDE PLUMBING LTD,NZD,44550.00,7500.00,050,PAYMENT RECEIVED - INV-2025-119 AUCKLAND COUNCIL,REF005
20260113,032001234567,HARBOURSIDE PLUMBING LTD,NZD,42350.00,-2200.00,050,BUNNINGS WAREHOUSE - TOOLS & FITTINGS,REF006
20260115,032001234567,HARBOURSIDE PLUMBING LTD,NZD,40850.00,-1500.00,050,VERO INSURANCE - QUARTERLY PREMIUM,REF007
20260117,032001234567,HARBOURSIDE PLUMBING LTD,NZD,49650.00,8800.00,050,PAYMENT RECEIVED - INV-2025-120 KIWI DEVELOPMENTS,REF008
20260120,032001234567,HARBOURSIDE PLUMBING LTD,NZD,47450.00,-2200.00,050,MOBIL FUEL - VEHICLE EXPENSES,REF009
20260122,032001234567,HARBOURSIDE PLUMBING LTD,NZD,43650.00,-3800.00,050,PAYROLL - MIKE TANE,REF010
20260122,032001234567,HARBOURSIDE PLUMBING LTD,NZD,39850.00,-3800.00,050,PAYROLL - SARAH CHEN,REF011
20260124,032001234567,HARBOURSIDE PLUMBING LTD,NZD,48350.00,8500.00,050,PAYMENT RECEIVED - INV-2026-001 NORTH SHORE HOTEL,REF012
20260127,032001234567,HARBOURSIDE PLUMBING LTD,NZD,46550.00,-1800.00,050,PLUMBING SUPPLIES NZ LTD - MATERIALS,REF013
20260129,032001234567,HARBOURSIDE PLUMBING LTD,NZD,45050.00,-1500.00,050,AUCKLAND CITY COUNCIL - CONSENT FEE,REF014
20260131,032001234567,HARBOURSIDE PLUMBING LTD,NZD,43550.00,-1500.00,050,RENT - 14 INDUSTRIAL RD UNIT 3,REF015
20260203,032001234567,HARBOURSIDE PLUMBING LTD,NZD,53950.00,10400.00,050,PAYMENT RECEIVED - INV-2026-002 FLETCHER BUILDING,REF016
20260205,032001234567,HARBOURSIDE PLUMBING LTD,NZD,51350.00,-2600.00,050,PLUMBING SUPPLIES NZ LTD - MATERIALS,REF017
20260207,032001234567,HARBOURSIDE PLUMBING LTD,NZD,47550.00,-3800.00,050,PAYROLL - MIKE TANE,REF018
20260207,032001234567,HARBOURSIDE PLUMBING LTD,NZD,43750.00,-3800.00,050,PAYROLL - SARAH CHEN,REF019
20260210,032001234567,HARBOURSIDE PLUMBING LTD,NZD,49250.00,5500.00,050,PAYMENT RECEIVED - INV-2026-003 RENOVATE NZ LTD,REF020
20260212,032001234567,HARBOURSIDE PLUMBING LTD,NZD,46550.00,-2700.00,050,TRADE TOOLS NZ - EQUIPMENT PURCHASE,REF021
20260214,032001234567,HARBOURSIDE PLUMBING LTD,NZD,52450.00,5900.00,050,PAYMENT RECEIVED - INV-2026-004 PRIVATE CLIENT D MORRISON,REF022
20260217,032001234567,HARBOURSIDE PLUMBING LTD,NZD,49250.00,-3200.00,050,IRD - GST PAYMENT JAN 2026,REF023
20260219,032001234567,HARBOURSIDE PLUMBING LTD,NZD,47750.00,-1500.00,050,MOBIL FUEL - VEHICLE EXPENSES,REF024
20260221,032001234567,HARBOURSIDE PLUMBING LTD,NZD,43950.00,-3800.00,050,PAYROLL - MIKE TANE,REF025
